document_id,doc_type,scoring_basis,stock_code,ticker,company_name,report_year,dimension_count,total_score_100,grade_label,AR01,AR02,AR03,AR04,AR05,AR01_std,AR02_std,AR03_std,AR04_std,AR05_std,flag_unverified_key_number,flag_excessive_promotional_tone,flag_nonstandard_audit,flag_disclosure_replacement,flag_retraction_or_correction_needed,adjudication_flag,needs_review,review_reasons,final_version,scorebook_version,model_name,llm_backend,temperature,seed,num_ctx,num_predict,think,stream,json_schema_mode,prompt_version,scoring_timestamp
MDA_2658_AJI_2020,mda,mda_disclosure_quality,2658,AJI,Ajinomoto,2020,5,23.75,D,2,3,1,2,2,25.0,50.0,0.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2658_AJI_2021,mda,mda_disclosure_quality,2658,AJI,Ajinomoto,2021,5,26.25,D,2,3,2,1,2,25.0,50.0,25.0,0.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2658_AJI_2022,mda,mda_disclosure_quality,2658,AJI,Ajinomoto,2022,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2658_AJI_2023,mda,mda_disclosure_quality,2658,AJI,Ajinomoto,2023,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2658_AJI_2024,mda,mda_disclosure_quality,2658,AJI,Ajinomoto,2024,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2828_CIHLDG_2020,mda,mda_disclosure_quality,2828,CIHLDG,CIHB,2020,5,86.25,A,5,4,5,4,4,100.0,75.0,100.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2828_CIHLDG_2021,mda,mda_disclosure_quality,2828,CIHLDG,CIHB,2021,5,91.25,A,5,4,5,5,4,100.0,75.0,100.0,100.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2828_CIHLDG_2022,mda,mda_disclosure_quality,2828,CIHLDG,CIHB,2022,5,91.25,A,5,4,5,5,4,100.0,75.0,100.0,100.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2828_CIHLDG_2023,mda,mda_disclosure_quality,2828,CIHLDG,CIHB,2023,5,88.75,A,5,4,5,4,5,100.0,75.0,100.0,75.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2828_CIHLDG_2024,mda,mda_disclosure_quality,2828,CIHLDG,CIHB,2024,5,56.25,C,5,2,4,2,4,100.0,25.0,75.0,25.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2836_CARLSBG_2020,mda,mda_disclosure_quality,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2020,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2836_CARLSBG_2021,mda,mda_disclosure_quality,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2021,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2836_CARLSBG_2022,mda,mda_disclosure_quality,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2022,5,38.75,D,4,3,2,2,2,75.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2836_CARLSBG_2023,mda,mda_disclosure_quality,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2023,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_2836_CARLSBG_2024,mda,mda_disclosure_quality,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2024,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3026_DLADY_2020,mda,mda_disclosure_quality,3026,DLADY,DL,2020,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3026_DLADY_2021,mda,mda_disclosure_quality,3026,DLADY,DL,2021,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3026_DLADY_2022,mda,mda_disclosure_quality,3026,DLADY,DL,2022,5,32.5,D,4,2,2,2,2,75.0,25.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3026_DLADY_2023,mda,mda_disclosure_quality,3026,DLADY,DL,2023,5,42.5,D,5,3,2,2,2,100.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3026_DLADY_2024,mda,mda_disclosure_quality,3026,DLADY,DL,2024,5,38.75,D,4,3,2,2,2,75.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3255_HEIM_2020,mda,mda_disclosure_quality,3255,HEIM,Heineken,2020,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3255_HEIM_2021,mda,mda_disclosure_quality,3255,HEIM,Heineken,2021,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3255_HEIM_2022,mda,mda_disclosure_quality,3255,HEIM,Heineken,2022,5,41.25,D,2,3,2,4,2,25.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3255_HEIM_2023,mda,mda_disclosure_quality,3255,HEIM,Heineken,2023,5,28.75,D,2,3,2,2,1,25.0,50.0,25.0,25.0,0.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3255_HEIM_2024,mda,mda_disclosure_quality,3255,HEIM,Heineken,2024,5,48.75,D,4,3,2,4,2,75.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3662_MFLOUR_2020,mda,mda_disclosure_quality,3662,MFLOUR,MFM,2020,5,72.5,B,5,3,4,4,4,100.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3662_MFLOUR_2021,mda,mda_disclosure_quality,3662,MFLOUR,MFM,2021,5,72.5,B,5,3,4,4,4,100.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3662_MFLOUR_2022,mda,mda_disclosure_quality,3662,MFLOUR,MFM,2022,5,52.5,D,5,3,2,4,2,100.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3662_MFLOUR_2023,mda,mda_disclosure_quality,3662,MFLOUR,MFM,2023,5,58.75,C,4,3,4,2,4,75.0,50.0,75.0,25.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3662_MFLOUR_2024,mda,mda_disclosure_quality,3662,MFLOUR,MFM,2024,5,68.75,C,4,3,4,4,4,75.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3689_FN_2020,mda,mda_disclosure_quality,3689,FN,FNHB,2020,5,52.5,D,4,4,2,2,5,75.0,75.0,25.0,25.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3689_FN_2021,mda,mda_disclosure_quality,3689,FN,FNHB,2021,5,53.75,D,4,3,2,4,4,75.0,50.0,25.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3689_FN_2022,mda,mda_disclosure_quality,3689,FN,FNHB,2022,5,25.0,D,2,2,2,2,2,25.0,25.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_3689_FN_2023,mda,mda_disclosure_quality,3689,FN,FNHB,2023,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4065_PPB_2020,mda,mda_disclosure_quality,4065,PPB,PPB,2020,5,53.75,D,4,3,2,4,4,75.0,50.0,25.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4065_PPB_2021,mda,mda_disclosure_quality,4065,PPB,PPB,2021,5,42.5,D,4,2,2,4,2,75.0,25.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4065_PPB_2022,mda,mda_disclosure_quality,4065,PPB,PPB,2022,5,68.75,C,4,3,4,4,4,75.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4065_PPB_2023,mda,mda_disclosure_quality,4065,PPB,PPB,2023,5,72.5,B,5,3,4,4,4,100.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4065_PPB_2024,mda,mda_disclosure_quality,4065,PPB,PPB,2024,5,41.25,D,2,3,2,4,2,25.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4707_NESTLE_2020,mda,mda_disclosure_quality,4707,NESTLE,Nestle Malaysia Berhad,2020,5,43.75,D,4,3,2,2,4,75.0,50.0,25.0,25.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4707_NESTLE_2021,mda,mda_disclosure_quality,4707,NESTLE,Nestle Malaysia Berhad,2021,5,48.75,D,4,3,2,4,2,75.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4707_NESTLE_2022,mda,mda_disclosure_quality,4707,NESTLE,Nestle Malaysia Berhad,2022,5,53.75,D,4,3,2,4,4,75.0,50.0,25.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4707_NESTLE_2023,mda,mda_disclosure_quality,4707,NESTLE,Nestle Malaysia Berhad,2023,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_4707_NESTLE_2024,mda,mda_disclosure_quality,4707,NESTLE,Nestle Malaysia Berhad,2024,5,48.75,D,4,3,2,4,2,75.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5008_HARISON_2021,mda,mda_disclosure_quality,5008,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2021,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5008_HARISON_2022,mda,mda_disclosure_quality,5008,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2022,5,38.75,D,4,3,2,2,2,75.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5008_HARISON_2023,mda,mda_disclosure_quality,5008,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2023,5,72.5,B,5,3,4,4,4,100.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5008_HARISON_2024,mda,mda_disclosure_quality,5008,HARISON,Harrisons Holdings (Malaysia) Berhad - 2020,2024,5,47.5,D,4,2,4,2,2,75.0,25.0,75.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5102_GCB_2020,mda,mda_disclosure_quality,5102,GCB,GCB,2020,5,48.75,D,4,3,2,4,2,75.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5102_GCB_2021,mda,mda_disclosure_quality,5102,GCB,GCB,2021,5,48.75,D,4,3,2,4,2,75.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5102_GCB_2022,mda,mda_disclosure_quality,5102,GCB,GCB,2022,5,53.75,D,4,3,2,4,4,75.0,50.0,25.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5102_GCB_2023,mda,mda_disclosure_quality,5102,GCB,GCB,2023,5,80.0,B,5,3,4,5,5,100.0,50.0,75.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5102_GCB_2024,mda,mda_disclosure_quality,5102,GCB,GCB,2024,5,53.75,D,4,3,2,4,4,75.0,50.0,25.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5157_SG_2020,mda,mda_disclosure_quality,5157,SG,Saudee Group Berhad,2020,5,43.75,D,4,3,2,2,4,75.0,50.0,25.0,25.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5157_SG_2021,mda,mda_disclosure_quality,5157,SG,Saudee Group Berhad,2021,5,38.75,D,4,3,2,2,2,75.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5157_SG_2022,mda,mda_disclosure_quality,5157,SG,Saudee Group Berhad,2022,5,68.75,C,4,3,4,4,4,75.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5157_SG_2023,mda,mda_disclosure_quality,5157,SG,Saudee Group Berhad,2023,5,68.75,C,4,3,4,4,4,75.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5157_SG_2024,mda,mda_disclosure_quality,5157,SG,Saudee Group Berhad,2024,5,68.75,C,4,3,4,4,4,75.0,50.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5187_HBGLOB_2020,mda,mda_disclosure_quality,5187,HBGLOB,HB Global Limited,2020,5,32.5,D,4,2,2,2,2,75.0,25.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5187_HBGLOB_2021,mda,mda_disclosure_quality,5187,HBGLOB,HB Global Limited,2021,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5187_HBGLOB_2022,mda,mda_disclosure_quality,5187,HBGLOB,HB Global Limited,2022,5,48.75,D,4,3,2,4,2,75.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5187_HBGLOB_2023,mda,mda_disclosure_quality,5187,HBGLOB,HB Global Limited,2023,5,53.75,D,4,3,2,4,4,75.0,50.0,25.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5187_HBGLOB_2024,mda,mda_disclosure_quality,5187,HBGLOB,HB Global Limited,2024,5,37.5,D,4,2,2,2,4,75.0,25.0,25.0,25.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5188_CNOUHUA_2020,mda,mda_disclosure_quality,5188,CNOUHUA,China Ouhua Winery Holdings Limited,2020,5,43.75,D,4,3,2,2,4,75.0,50.0,25.0,25.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5188_CNOUHUA_2021,mda,mda_disclosure_quality,5188,CNOUHUA,China Ouhua Winery Holdings Limited,2021,5,43.75,D,4,3,2,2,4,75.0,50.0,25.0,25.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5188_CNOUHUA_2022,mda,mda_disclosure_quality,5188,CNOUHUA,China Ouhua Winery Holdings Limited,2022,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5188_CNOUHUA_2023,mda,mda_disclosure_quality,5188,CNOUHUA,China Ouhua Winery Holdings Limited,2023,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5188_CNOUHUA_2024,mda,mda_disclosure_quality,5188,CNOUHUA,China Ouhua Winery Holdings Limited,2024,5,31.25,D,2,3,2,2,2,25.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5202_MSM_2020,mda,mda_disclosure_quality,5202,MSM,MSM,2020,5,38.75,D,4,3,2,2,2,75.0,50.0,25.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5202_MSM_2021,mda,mda_disclosure_quality,5202,MSM,MSM,2021,5,41.25,D,2,3,2,4,2,25.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5202_MSM_2022,mda,mda_disclosure_quality,5202,MSM,MSM,2022,5,41.25,D,2,3,2,4,2,25.0,50.0,25.0,75.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
MDA_5202_MSM_2023,mda,mda_disclosure_quality,5202,MSM,MSM,2023,5,47.5,D,4,2,4,2,2,75.0,25.0,75.0,25.0,25.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,0.0,42,4096,192,false,false,ollama_format_schema,mda_single_dimension_context_v2,
