document_id,doc_type,company_name,ticker,source_name,publish_date,title,url,confidence_tier,relevance_status,review_reason,dimension_count,total_score_100,grade_label,N01,N02,N03,N04,N05,N01_std,N02_std,N03_std,N04_std,N05_std,flag_unverified_key_number,flag_excessive_promotional_tone,flag_nonstandard_audit,flag_disclosure_replacement,flag_retraction_or_correction_needed,adjudication_flag,needs_review,review_reasons,final_version,scorebook_version,model_name,llm_backend,temperature,seed,num_ctx,num_predict,think,stream,json_schema_mode,prompt_version,scoring_timestamp,relevance_confidence_tier,relevance_status_original,relevance_needs_manual_review,relevance_review_reason,model_confidence_tier,strict_company_focus_flag,suspect_not_company_focused,company_focus_reason,final_dataset_version,final_include_flag,low_confidence_flag,source_input_path,source_ratings_long_path,freeze_timestamp
NEWS_APOLLO_2024_12_04_40774629ea,news,Apollo,APOLLO,The Star,2024-12-04,Apollo Food registers higher net profit of RM10.62mil in 2Q,https://www.thestar.com.my/business/business-news/2024/12/04/apollo-food-registers-higher-net-profit-of-rm1062mil-in-2q,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2024_06_13_6fae37e79e,news,Apollo,APOLLO,The Star,2024-06-13,Apollo’s net profit jumps 70% to RM53.8mil in FY24,https://www.thestar.com.my/business/business-news/2024/06/13/apollos-net-profit-jumps-70-to-rm538mil-in-fy24,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2024_03_20_80c1e51215,news,Apollo,APOLLO,The Star,2024-03-20,Apollo Food to address shareholding spread,https://www.thestar.com.my/business/business-news/2024/03/20/apollo-food-to-address-shareholding-spread,,,,5,87.5,A,5,4,4,5,4,100.0,75.0,75.0,100.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,ticker_only_title_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2024_03_20_135b27aed9,news,Apollo,APOLLO,The Star,2024-03-20,Investors take cautious approach as US rate decision looms,https://www.thestar.com.my/business/business-news/2024/03/20/investors-take-cautious-approach-as-us-rate-decision-looms,,,,5,82.5,B,5,4,4,4,4,100.0,75.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,stock_market_roundup_list_only,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2024_03_19_ac1666c08d,news,Apollo,APOLLO,The Star,2024-03-19,"Profit-taking in the market, KLCI down 8.68 points",https://www.thestar.com.my/business/business-news/2024/03/19/profit-taking-in-the-market-klci-down-868-points,,,,5,87.5,A,5,4,4,5,4,100.0,75.0,75.0,100.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,stock_market_roundup_list_only,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_APOLLO_2024_03_20_6608331c4a,news,Apollo,APOLLO,The Star,2024-03-20,Banks lead Bursa blue-chips lower,https://www.thestar.com.my/business/business-news/2024/03/20/banks-lead-bursa-blue-chips-lower,,,,5,87.5,A,5,4,4,5,4,100.0,75.0,75.0,100.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,stock_market_roundup_list_only,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_CARLSBG_2025_06_26_768e2d1e41,news,Carlsberg Brewery Malaysia Berhad,CARLSBG,The Star,2025-06-26,A toast to diversity,https://www.thestar.com.my/starpicks/2025/06/26/a-toast-to-diversity,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_FFB_2025_08_28_227fccdd6a,news,FarmFresh,FFB,The Star,2025-08-28,Negeri Sembilan lifts nearly 30% of poor households out of poverty,https://www.thestar.com.my/news/nation/2025/08/28/negeri-sembilan-lifts-nearly-30-of-poor-households-out-of-poverty,,,,5,93.75,A,5,4,5,5,5,100.0,75.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,weak_company_specific_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_FFB_2025_07_06_69d9a8cfbc,news,FarmFresh,FFB,The Star,2025-07-06,"‘Form Six, not a last resort’",https://www.thestar.com.my/news/education/2025/07/06/form-six-not-a-last-resort,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,weak_company_specific_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_FFB_2024_11_29_52934062fa,news,FarmFresh,FFB,The Star,2024-11-29,Farm Fresh wins Brand of the Year in dairy for the second time,https://www.thestar.com.my/news/nation/2024/11/29/farm-fresh-wins-brand-of-the-year-in-dairy-for-the-second-time,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_FFB_2024_03_25_6d7e0b33b8,news,FarmFresh,FFB,The Star,2024-03-25,Nurturing a community of empowered mothers,https://www.thestar.com.my/metro/metro-news/2024/03/25/nurturing-a-community-of-empowered-mothers,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_GCB_2024_10_10_760f239c42,news,Guan Chong Berhad,GCB,The Star,2024-10-10,Analysts positive on Guan Chong's growth prospects following Ivory Coast acquisition,https://www.thestar.com.my/business/business-news/2024/10/10/analysts-positive-on-guan-chong039s-growth-prospects-following-ivory-coast-acquisition,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_GCB_2024_10_09_d838cb0e39,news,Guan Chong Berhad,GCB,The Star,2024-10-09,Guan Chong plans purchase of 25% equity in Ivory Coast cocoa processor,https://www.thestar.com.my/business/business-news/2024/10/09/guan-chong-plans-purchase-of-25-equity-in-ivory-coast-cocoa-processor,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_HEIM_2024_10_30_de348b2301,news,Heineken,HEIM,The Star,2024-10-30,"Tipsy-Turvy Quick Shots: Scotch for a cause, cognac craft, peachy beer",https://www.thestar.com.my/lifestyle/living/tipsy-turvy/2024/10/30/tipsy-turvy-quick-shots-scotch-for-a-cause-cognac-craft-peachy-beer,,,,5,86.25,A,5,4,5,4,4,100.0,75.0,100.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,weak_company_specific_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_KAWAN_2025_05_02_cf4c3b6730,news,Kawan Food,KAWAN,The Star,2025-05-02,Malaysia’s halal product exports up 15% to RM62bil last year,https://www.thestar.com.my/business/business-news/2025/05/02/malaysias-halal-product-exports-up-15-to-rm62bil-last-year,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,weak_company_specific_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_KAWAN_2025_05_01_8618bad820,news,Kawan Food,KAWAN,The Star,2025-05-01,Malaysia’s halal product exports up 15% to RM61.79bil in 2024,https://www.thestar.com.my/business/business-news/2025/05/01/malaysias-halal-product-exports-up-15-to-rm6179bil-in-2024,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,weak_company_specific_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_KAWAN_2024_10_17_73ac524c0a,news,Kawan Food,KAWAN,The Star,2024-10-17,Lim Hun Soon is chairman of Kawan Food,https://www.thestar.com.my/business/business-news/2024/10/17/lim-hun-soon-is-chairman-of-kawan-food,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,ticker_only_title_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_KAWAN_2024_08_22_df0cfefb2c,news,Kawan Food,KAWAN,The Star,2024-08-22,Kawan benefitting from strong foreign demand,https://www.thestar.com.my/business/business-news/2024/08/22/kawan-benefitting-from-strong-foreign-demand,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_LOTUS_2024_11_29_b667d9d01f,news,Lotus KFM Berhad,LOTUS,The Star,2024-11-29,Lotus KFM eyes growth with bioenergy and plantation ventures,https://www.thestar.com.my/business/business-news/2024/11/29/lotus-kfm-eyes-growth-with-bioenergy-and-plantation-ventures,,,,5,93.75,A,5,4,5,5,5,100.0,75.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,sponsor_list_or_csr_only,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2025_11_28_908d08456a,news,MSM Malaysia Holdings Berhad,MSM,The Star,2025-11-28,MSM Malaysia says low raw sugar prices bolster 2026 prospects,https://www.thestar.com.my/business/business-news/2025/11/28/msm-malaysia-says-low-raw-sugar-prices-bolster-2026-prospects,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2025_09_18_bba3204f63,news,MSM Malaysia Holdings Berhad,MSM,The Star,2025-09-18,Felda: Abolish permits for refined sugar,https://www.thestar.com.my/news/nation/2025/09/18/felda-abolish-permits-for-refined-sugar,,,,5,96.25,A,5,5,4,5,5,100.0,100.0,75.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,weak_company_specific_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2025_09_11_d997c2e9df,news,MSM Malaysia Holdings Berhad,MSM,The Star,2025-09-11,Switch to value stocks holds investor potential,https://www.thestar.com.my/business/business-news/2025/09/11/switch-to-value-stocks-holds-investor-potential,,,,5,82.5,B,5,4,4,4,4,100.0,75.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,sponsor_list_or_csr_only,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2025_07_03_50b881c980,news,MSM Malaysia Holdings Berhad,MSM,The Star,2025-07-03,MSM appoints new acting group CEO,https://www.thestar.com.my/business/business-news/2025/07/03/msm-appoints-new-acting-group-ceo,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,ticker_only_title_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2025_07_02_5b7f705160,news,MSM Malaysia Holdings Berhad,MSM,The Star,2025-07-02,MSM appoints Hasni Ahmad as acting CEO following Syed Feizal’s resignation,https://www.thestar.com.my/business/business-news/2025/07/02/msm-appoints-hasni-ahmad-as-acting-ceo-following-syed-feizals-resignation,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,ticker_only_title_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2025_06_20_60bfc7df84,news,MSM Malaysia Holdings Berhad,MSM,The Star,2025-06-20,"Refined sugar to stay tax-exempt, says Finance Ministry",https://www.thestar.com.my/news/nation/2025/06/20/refined-sugar-to-stay-tax-exempt-says-finance-ministry,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2025_06_20_ee796bcae3,news,MSM Malaysia Holdings Berhad,MSM,The Star,2025-06-20,MSM Malaysia aims to increase export volumes,https://www.thestar.com.my/business/business-news/2025/06/20/msm-malaysia-aims-to-increase-export-volumes,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2025_06_19_1ebde10200,news,MSM Malaysia Holdings Berhad,MSM,The Star,2025-06-19,MSM reiterates call for tariff to curb dumping of imported sugar,https://www.thestar.com.my/business/business-news/2025/06/19/msm-reiterates-call-for-tariff-to-curb-dumping-of-imported-sugar,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,ticker_only_title_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2025_03_20_3508a07a0e,news,MSM Malaysia Holdings Berhad,MSM,The Star,2025-03-20,"MSM plans Tg Langsat as sugar export hub, eyes new markets",https://www.thestar.com.my/business/business-news/2025/03/20/msm-plans-tg-langsat-as-sugar-export-hub-eyes-new-markets,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2024_08_29_999c6cd4ed,news,MSM Malaysia Holdings Berhad,MSM,The Star,2024-08-29,FGV on track for a better 2H on rising production,https://www.thestar.com.my/business/business-news/2024/08/29/fgv-on-track-for-a-better-2h-on-rising-production,,,,5,75.0,B,4,4,4,4,4,75.0,75.0,75.0,75.0,75.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,low,low_confidence_company_news,Yes,weak_company_specific_context,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2024_08_23_14b0cd98e7,news,MSM Malaysia Holdings Berhad,MSM,The Star,2024-08-23,MSM to strengthen domestic sales,https://www.thestar.com.my/business/business-news/2024/08/23/msm-to-strengthen-domestic-sales,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
NEWS_MSM_2024_08_22_7db1515566,news,MSM Malaysia Holdings Berhad,MSM,The Star,2024-08-22,MSM posts bigger loss in 2Q,https://www.thestar.com.my/business/business-news/2024/08/22/msm-posts-bigger-loss-in-2q,,,,5,100.0,A,5,5,5,5,5,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,False,,initial,2026-06-15,qwen3:8b,ollama,,,,,,,,,,high,high_confidence_company_news,No,,,,,,final_freeze_2026-06-16,true,false,06_ratings\news_final_full\news_final_document_scores.csv,06_ratings\news_final_full\news_final_ratings_long.csv,2026-09-01T02:05:38+00:00
